Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num
Honduras,CONCACAF,82,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,Honduras,HND,340
Haiti,CONCACAF,90,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,Haiti,HTI,332
Trinidad and Tobago,CONCACAF,102,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,TTO,780
Guatemala,CONCACAF,118,0.43,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Guatemala,GTM,320
Antigua and Barbuda,CONCACAF,127,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,ATG,28
Suriname,CONCACAF,141,0.45,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,Suriname,SUR,740
St. Kitts and Nevis,CONCACAF,142,0.35,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Kitts and Nevis,KNA,659
Nicaragua,CONCACAF,144,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicaragua,NIC,558
Dominican Republic,CONCACAF,155,0.4,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominican Republic (the),DOM,214
Barbados,CONCACAF,163,0.35,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,BRB,52
Bermuda,CONCACAF,167,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Bermuda,BMU,60
Grenada,CONCACAF,170,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Grenada,GRD,308
Puerto Rico,CONCACAF,172,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,Puerto Rico,PRI,630
Belize,CONCACAF,173,0.35,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,BLZ,84
Guyana,CONCACAF,174,0.3,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,Guyana,GUY,328
St. Vincent and the Grenadines,CONCACAF,175,0.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Vincent and the Grenadines,VCT,670
St. Lucia,CONCACAF,176,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Lucia,LCA,662
Cuba,CONCACAF,177,0.5,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuba,CUB,192
Montserrat,CONCACAF,178,0.2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,Montserrat,MSR,500
Dominica,CONCACAF,184,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominica,DMA,212
Cayman Islands,CONCACAF,195,0.12,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,Cayman Islands (the),CYM,136
Aruba,CONCACAF,200,0.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,Aruba,ABW,533
Bahamas,CONCACAF,201,0.25,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas (the),BHS,44
Turks and Caicos Islands,CONCACAF,206,0.15,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,Turks and Caicos Islands (the),TCA,796
US Virgin Islands,CONCACAF,208,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,Virgin Islands (U.S.),VIR,850
British Virgin Islands,CONCACAF,209,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Virgin Islands (British),VGB,92
Anguilla,CONCACAF,210,0.15,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,AIA,660
Brazil,CONMEBOL,1,1.85,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,BRA,76
Argentina,CONMEBOL,4,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,ARG,32
Uruguay,CONMEBOL,13,1.55,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,URY,858
Colombia,CONMEBOL,17,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Colombia,COL,170
Peru,CONMEBOL,22,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Peru,PER,604
Chile,CONMEBOL,29,1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Chile,CHL,152
Ecuador,CONMEBOL,46,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecuador,ECU,218
Paraguay,CONMEBOL,50,1.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,Paraguay,PRY,600
Venezuela,CONMEBOL,58,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Venezuela (Bolivarian Republic of),VEN,862
Bolivia,CONMEBOL,78,0.8,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia (Plurinational State of),BOL,68
New Zealand,OFC,101,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,New Zealand,NZL,554
Solomon Islands,OFC,137,0.45,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Solomon Islands,SLB,90
New Caledonia,OFC,160,0.24,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,New Caledonia,NCL,540
Papua New Guinea,OFC,162,0.2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,Papua New Guinea,PNG,598
Tahiti,OFC,164,0.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fiji,OFC,165,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,Fiji,FJI,242
Vanuatu,OFC,166,0.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,VUT,548
American Samoa,OFC,189,0.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,American Samoa,ASM,16
Cook Islands,OFC,190,0.11,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,Cook Islands (the),COK,184
Samoa,OFC,193,0.13,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Samoa,WSM,882
Tonga,OFC,199,0.12,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,Tonga,TON,776
Belgium,UEFA,2,1.75,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,BEL,56
France,UEFA,3,1.9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,France,FRA,250
England,UEFA,5,1.55,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
