,Name,Country,Position,ShirtNumber,Attack,Passing,P,Goals,Assists,Confederation,WC_P,WC_Goals,WC_Assists,GPG,APG,WC_GPG,WC_APG
17,Ehsan Hajsafi,Iran,MID,#11,5,4,5380,983,574,AFC,788,75,44,0.18271375464684014,0.1066914498141264,0.09517766497461928,0.05583756345177665
18,Medhi Torabi,Iran,MID,#8,5,10,5380,997,1435,AFC,788,83,94,0.18531598513011152,0.266728624535316,0.10532994923857868,0.11928934010152284
19,Alireza Jahanbakhsh,Iran,MID,#7,8,10,5380,1664,1361,AFC,788,93,106,0.3092936802973978,0.2529739776951673,0.11802030456852793,0.13451776649746192
20,Medhi Taremi,Iran,ATK,#9,9,8,5380,1834,1037,AFC,788,128,70,0.3408921933085502,0.19275092936802973,0.16243654822335024,0.08883248730964467
21,Sardar Azmoun,Iran,ATK,#10,10,8,5380,2007,1083,AFC,788,148,70,0.3730483271375465,0.2013011152416357,0.18781725888324874,0.08883248730964467
22,Jo Hyeon-Woo,South Korea,GK,#1,0,0,5334,0,0,AFC,718,0,0,0.0,0.0,0.0,0.0
23,Kim Jin-su,South Korea,DEF,#3,2,2,5334,375,308,AFC,718,19,22,0.0703037120359955,0.05774278215223097,0.026462395543175487,0.03064066852367688
24,Kwon Kyung-won,South Korea,DEF,#16,3,2,5334,637,265,AFC,718,34,10,0.1194225721784777,0.049681289838770154,0.04735376044568245,0.013927576601671309
25,Kim Min-jae,South Korea,DEF,#4,1,5,5334,208,744,AFC,718,8,38,0.03899512560929884,0.13948256467941508,0.011142061281337047,0.052924791086350974
26,Hong Chul,South Korea,DEF,#2,1,5,5334,202,705,AFC,718,13,51,0.03787026621672291,0.13217097862767155,0.018105849582172703,0.07103064066852367
