,Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num,GFPG,GAPG,CS%,WC_GFPG,WC_GAPG
52,Algeria,CAF,44,1.2,1.1,917.0,1467.0,720.0,441.0,154.0,126.0,205.0,44.0,15.0,1.0,1.0,0.0,0.0,Algeria,DZA,12.0,1.5997818974918212,0.7851690294438386,0.48091603053435117,0.8181818181818182,1.3311688311688312
53,Mali,CAF,52,1.1,1.1,851.0,1230.0,649.0,408.0,124.0,100.0,156.0,34.0,8.0,4.0,2.0,1.0,1.0,Mali,MLI,466.0,1.445358401880141,0.7626321974148061,0.4794359576968273,0.8064516129032258,1.2580645161290323
54,Ivory Coast,CAF,53,1.2,1.05,894.0,1442.0,727.0,411.0,134.0,99.0,188.0,40.0,8.0,2.0,0.0,0.0,0.0,Côte d'Ivoire,CIV,384.0,1.6129753914988814,0.8131991051454138,0.4597315436241611,0.7388059701492538,1.4029850746268657
55,Burkina Faso,CAF,56,1.05,0.95,806.0,1121.0,713.0,366.0,87.0,66.0,133.0,27.0,4.0,1.0,0.0,0.0,0.0,Burkina Faso,BFA,854.0,1.3908188585607941,0.8846153846153846,0.45409429280397023,0.7586206896551724,1.528735632183908
56,Ghana,CAF,60,1.1,1.05,762.0,1171.0,629.0,346.0,65.0,48.0,81.0,20.0,4.0,1.0,0.0,0.0,0.0,Ghana,GHA,288.0,1.536745406824147,0.8254593175853019,0.4540682414698163,0.7384615384615385,1.2461538461538462
57,Congo DR,CAF,67,0.95,1.05,733.0,954.0,589.0,345.0,59.0,40.0,84.0,19.0,1.0,0.0,0.0,0.0,0.0,Congo (the),COD,180.0,1.3015006821282402,0.8035470668485676,0.47066848567530695,0.6779661016949152,1.423728813559322
58,South Africa,CAF,69,0.9,1.0,687.0,816.0,552.0,321.0,36.0,25.0,45.0,11.0,1.0,1.0,0.0,0.0,0.0,South Africa,ZAF,710.0,1.1877729257641922,0.8034934497816594,0.4672489082969432,0.6944444444444444,1.25
59,Cabo Verde,CAF,71,0.8,0.9,657.0,728.0,587.0,281.0,22.0,13.0,32.0,6.0,1.0,1.0,1.0,0.0,0.0,Cabo Verde,CPV,132.0,1.1080669710806696,0.893455098934551,0.4277016742770167,0.5909090909090909,1.4545454545454546
60,Guinea,CAF,80,0.85,0.8,653.0,756.0,637.0,255.0,12.0,6.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,Guinea,GIN,324.0,1.1577335375191424,0.9754977029096478,0.3905053598774885,0.5,1.8333333333333333
61,Gabon,CAF,81,0.85,0.67,639.0,765.0,747.0,218.0,14.0,9.0,29.0,4.0,2.0,0.0,0.0,0.0,0.0,Gabon,GAB,266.0,1.1971830985915493,1.1690140845070423,0.3411580594679186,0.6428571428571429,2.0714285714285716
62,Benin,CAF,84,0.8,0.8,635.0,679.0,665.0,240.0,14.0,12.0,34.0,4.0,2.0,0.0,0.0,0.0,0.0,Benin,BEN,204.0,1.0692913385826772,1.047244094488189,0.3779527559055118,0.8571428571428571,2.4285714285714284
63,Uganda,CAF,86,0.8,0.8,627.0,711.0,633.0,245.0,9.0,9.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,Uganda,UGA,800.0,1.1339712918660287,1.0095693779904307,0.39074960127591707,1.0,2.3333333333333335
64,Zambia,CAF,87,0.75,0.82,649.0,662.0,589.0,282.0,15.0,11.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,Zambia,ZMB,894.0,1.0200308166409862,0.9075500770416025,0.4345146379044684,0.7333333333333333,2.0
65,Congo,CAF,98,0.8,0.8,640.0,729.0,637.0,248.0,10.0,10.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,Congo (the Democratic Republic of the),COG,178.0,1.1390625,0.9953125,0.3875,1.0,1.3
66,Equatorial Guinea,CAF,99,0.57,0.67,604.0,476.0,742.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Equatorial Guinea,GNQ,226.0,0.7880794701986755,1.228476821192053,0.3079470198675497,,
67,Madagascar,CAF,102,0.7,0.75,616.0,560.0,655.0,240.0,6.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,Madagascar,MDG,450.0,0.9090909090909091,1.0633116883116882,0.38961038961038963,0.3333333333333333,2.1666666666666665
68,Kenya,CAF,104,0.75,0.76,637.0,650.0,702.0,220.0,9.0,4.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,Kazakhstan,KAZ,398.0,1.0204081632653061,1.1020408163265305,0.3453689167974882,0.4444444444444444,2.2222222222222223
69,Sierra Leone,CAF,108,0.77,0.73,644.0,699.0,688.0,223.0,12.0,7.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,Sierra Leone,SLE,694.0,1.0854037267080745,1.0683229813664596,0.34627329192546585,0.5833333333333334,1.6666666666666667
70,Namibia,CAF,112,0.69,0.72,642.0,592.0,709.0,226.0,16.0,2.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,Namibia,NAM,516.0,0.9221183800623053,1.104361370716511,0.35202492211838005,0.125,1.375
71,Mauritania,CAF,113,0.7,0.75,628.0,594.0,705.0,229.0,9.0,6.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,Mauritania,MRT,478.0,0.945859872611465,1.122611464968153,0.3646496815286624,0.6666666666666666,2.2222222222222223
72,Guinea-Bissau,CAF,115,0.65,0.67,489.0,445.0,558.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guinea-Bissau,GNB,624.0,0.9100204498977505,1.1411042944785277,0.34151329243353784,,
73,Niger,CAF,116,0.7,0.67,566.0,578.0,653.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niger (the),NER,562.0,1.0212014134275618,1.1537102473498233,0.303886925795053,,
74,Libya,CAF,117,0.75,0.73,590.0,603.0,644.0,200.0,3.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Libya,LBY,434.0,1.0220338983050847,1.0915254237288134,0.3389830508474576,0.3333333333333333,2.6666666666666665
75,Mozambique,CAF,119,0.7,0.78,499.0,464.0,513.0,185.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Mozambique,MOZ,508.0,0.9298597194388778,1.028056112224449,0.37074148296593185,0.3333333333333333,2.3333333333333335
76,Malawi,CAF,120,0.63,0.65,507.0,476.0,583.0,162.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Malawi,MWI,454.0,0.9388560157790927,1.1499013806706115,0.31952662721893493,0.3333333333333333,1.6666666666666667
